text,aspect,sentiment_label,language
SEBAPALI SA BOLO SE PHONYOHA $T$,TORONKO,-1,sesotho
$T$ BA TLOHELA LIPILISI TSA BOPHELO BOHLE KA LERENG BA RAPELETSOE,BATHO,-1,sesotho
BATHO BA TLOHELA $T$ KA LERENG BA RAPELETSOE,LIPILISI TSA BOPHELO BOHLE,1,sesotho
LE KAJENO LITŠEPISO TSA $T$ LE LETONA HA LI SO PHETHAHALE,TONAKHOLO,-1,sesotho
LE KAJENO LITŠEPISO TSA TONAKHOLO LE $T$ HA LI SO PHETHAHALE,LETONA,-1,sesotho
$T$ EA HO LOKISA LEBALA LA LIPAPALI E QALILE,TŠEBETSO,1,sesotho
TŠEBETSO EA HO LOKISA $T$ E QALILE,LEBALA LA LIPAPALI,1,sesotho
PHANO EA $T$ E NTSE E TSAMAEA KA THELLO E KHOLO,LIPASA,1,sesotho
$T$ TSE MONATE KE TSENA FEELA LI KANNA TSA BA BOHLOKO HO MANOA-JOALA A BAQHOBI,LITABA,1,sesotho
LITABA TSE MONATE KE TSENA FEELA LI KANNA TSA BA BOHLOKO HO MANOA-JOALA A $T$,BAQHOBI,-1,sesotho
BA SEBOKO KA HO NYOLOHA HOA $T$,MAKOLOI,-1,sesotho
$T$ O BAPISA TONAKHOLO EA MEHLENG LE TONAKHOLO,MOPARAMENTE,0,sesotho
MOPARAMENTE O BAPISA $T$ LE TONAKHOLO,TONAKHOLO EA MEHLENG,0,sesotho
MOPARAMENTE O BAPISA TONAKHOLO EA MEHLENG LE $T$,TONAKHOLO,0,sesotho
$T$ O TLO AHA MATLO A BATHO A FEFOHILENG,TONAKHOLO,1,sesotho
TONAKHOLO O TLO AHA $T$ A FEFOHILENG,MATLO A BATHO,-1,sesotho
$T$ O NTSE A PHETSE HANTLE,TONAKHOLO,1,sesotho
$T$ O QALELETSE HO FEPA SECHABA,TONAKHOLO,1,sesotho
TONAKHOLO O QALELETSE HO FEPA $T$,SECHABA,0,sesotho
$T$ TSE MONTATE HO BAITHUTI,LITABA,1,sesotho
LITABA TSE MONTATE HO $T$,BAITHUTI,0,sesotho
$T$ LE EENA O FUOA BOTONA KE TONAKHOLO,MOPARAMENTE,1,sesotho
MOPARAMENTE LE EENA O FUOA BOTONA KE $T$,TONAKHOLO,1,sesotho
BONA $T$ A TLANG HO HLAPANTŠOA KAJENO,LENANE LA MATONA,1,sesotho
$T$ O TLO ABELA SECHABA LIJO-THOLLO,TONAKHOLO,1,sesotho
TONAKHOLO O TLO ABELA $T$ LIJO-THOLLO,SECHABA,0,sesotho
TONAKHOLO O TLO ABELA SECHABA $T$,LIJO-THOLLO,0,sesotho
$T$ HA A EO KA HAR'A NAHA,MOPARAMENTE,0,sesotho
$T$ E MOHOLO OA 'MUSO O TLO QHAUTSOA,MOHANYETSI,1,sesotho
MOHANYETSI E MOHOLO OA $T$ O TLO QHAUTSOA,'MUSO,0,sesotho
$T$ BA PHALLELOA KA LIMPHO,BAITHUTI,0,sesotho
BAITHUTI BA PHALLELOA KA $T$,LIMPHO,1,sesotho
$T$ O TSOELAPELE KA MOSEBETSI O MOTLE,TONAKHOLO,1,sesotho
$T$ O ARABA LIPOTSO TSA THEKO EA MAKOLOI A SEPOLESA,'MUSO,1,sesotho
'MUSO O ARABA LIPOTSO TSA $T$ EA MAKOLOI A SEPOLESA,THEKO,0,sesotho
'MUSO O ARABA LIPOTSO TSA THEKO EA $T$,MAKOLOI A SEPOLESA,0,sesotho
$T$ SE BOELA E NGOLA NALANE E MPE,SEHLOPHA SA BOLO,-1,sesotho
$T$ BA TLO LAHLELOA TORONKONG,BATŠEHETSI BA SEHLOPHA SA BOLO,-1,sesotho
BATŠEHETSI BA SEHLOPHA SA BOLO BA TLO LAHLELOA $T$,TORONKONG,-1,sesotho
$T$ O TLO FANA KA LINKU HO BALISANA BA 108,TONAKHOLO,1,sesotho
TONAKHOLO O TLO FANA KA LINKU HO $T$ BA 108,BALISANA,1,sesotho
$T$ O SHEMOLA NTATAE SEPHAKA,NGOANANA,-1,sesotho
NGOANANA O SHEMOLA $T$ SEPHAKA,NTATAE,0,sesotho
NGOANANA O SHEMOLA NTATAE $T$,SEPHAKA,0,sesotho
$T$ O KHENOLA MOPARAMENTE HAPE,TONAKHOLO,-1,sesotho
TONAKHOLO O KHENOLA MOPARAMENTE HAPE,MOPARAMENTE,0,sesotho
$T$ LE TLA ARABA TSA LEFU LA MOSEBETSI KAJENO,LETONA,-1,sesotho
LETONA LE TLA ARABA TSA LEFU LA $T$ KAJENO,MOSEBETSI,-1,sesotho
$T$ O SHAPELA TONAKHOLO LEHOFI,MOPARAMENTE OA MEHLENG,0,sesotho
MOPARAMENTE OA MEHLENG O SHAPELA $T$ LEHOFI,TONAKHOLO,1,sesotho
$T$ O TLO REKELA MAPOLESA MAKOLOI A MANG HAPE,'MUSO,1,sesotho
'MUSO O TLO REKELA $T$ MAKOLOI A MANG HAPE,MAPOLESA,0,sesotho
'MUSO O TLO REKELA MAPOLESA $T$ A MANG HAPE,MAKOLOI,1,sesotho
KE LESHANO HORE $T$ E TLO KOPANELA PUSO,PHATHI,0,sesotho
KE LESHANO HORE PHATHI E TLO KOPANELA $T$,PUSO,-1,sesotho
$T$ A 7 A 'MUSO A BATLA HO TŠELELA KA HO BOHANYETSI,MAPARAMENTE,-1,sesotho
MAPARAMENTE A 7 A $T$ A BATLA HO TŠELELA KA HO BOHANYETSI,'MUSO,0,sesotho
MAPARAMENTE A 7 A 'MUSO A BATLA HO TŠELELA KA HO $T$,BOHANYETSI,-1,sesotho
$T$ O BOELA A TSOA PUO KA TSA HO TŠOAROA HA HAE,MOPARAMENTE,-1,sesotho
BALA POLELO EA $T$ MABAPI LE MAEMO A RENANG A LIPOLOTIKI,LEKHOTLA LA LIKEREKE,0,sesotho
BALA POLELO EA LEKHOTLA LA LIKEREKE MABAPI LE $T$ A RENANG A LIPOLOTIKI,MAEMO,0,sesotho
BALA POLELO EA LEKHOTLA LA LIKEREKE MABAPI LE MAEMO A RENANG A $T$,LIPOLOTIKI,0,sesotho
$T$ O JOOA KE LINTA TSA KOBO EA HAE,MOPARAMENTE,-1,sesotho
$T$ O HLALOSA TSA TŠOARO EA HAE,MOPARAMENTE,-1,sesotho
$T$ SE TLOLA MOLAO KA HO TŠOARA MOPARAMENTE,SEPOLESA,-1,sesotho
SEPOLESA SE TLOLA MOLAO KA HO TŠOARA $T$,MOPARAMENTE,0,sesotho
$T$ A IKISA MAPOLESENG,MAPARAMENTE A BOHANYETSI,-1,sesotho
MAPARAMENTE A BOHANYETSI A IKISA $T$,MAPOLESENG,0,sesotho
$T$ O TŠOEROE,MOPARAMENTE OA BOHANYETSI,-1,sesotho
$T$ A TLO SHAPUOA,MASOLE,-1,sesotho
$T$ O FUOA BEILE,'MOLAI OA MOPARAMENTE OA MEHLENG,-1,sesotho
'MOLAI OA MOPARAMENTE OA MEHLENG O FUOA $T$,BEILE,0,sesotho
$T$ SE MAKALLA POLELO EA LITSI TSA TŠIRELETSO,SETHO SA PHATHI,-1,sesotho
SETHO SA PHATHI SE MAKALLA $T$,POLELO EA LITSI TSA TŠIRELETSO,0,sesotho
$T$ O KENYA SEPOLESA SESOLE LE MAUTLOELA TSELENG,MOPARAMENTE,1,sesotho
MOPARAMENTE O KENYA $T$ SESOLE LE MAUTLOELA TSELENG,SEPOLESA,-1,sesotho
MOPARAMENTE O KENYA SEPOLESA SESOLE LE $T$ TSELENG,MAUTLOELA,-1,sesotho
MOPARAMENTE O KENYA SEPOLESA $T$ LE MAUTLOELA TSELENG,SESOLE,-1,sesotho
$T$ O RE LIKETSO TSA HO LIEA PUSO LI KE SE ETSAHALE,MOOKAMELI,1,sesotho
MOOKAMELI O RE LIKETSO TSA HO LIEA $T$ LI KE SE ETSAHALE,PUSO,-1,sesotho
MOOKAMELI O RE $T$ TSA HO LIEA PUSO LI KE SE ETSAHALE,LIKETSO,1,sesotho
$T$ O TSOILE BOHANYETSI SHIBOBO,'MUSO,1,sesotho
'MUSO O TSOILE $T$ SHIBOBO,BOHANYETSI,-1,sesotho
$T$ LE THIBELA HO LIHELOA HA TONAKHOLO,LEKHOTLA,1,sesotho
LEKHOTLA LE THIBELA HO LIHELOA HA $T$,TONAKHOLO,0,sesotho
HA U TŠABA U TŠABE $T$,MOPARAMENTE,-1,sesotho
$T$ O RE 'MUSO OA HAE O TJAMETSOE KE HO SE QETE LILEMO TSE HLANO,TONAKHOLO,-1,sesotho
TONAKHOLO O RE $T$ OA HAE O TJAMETSOE KE HO SE QETE LILEMO TSE HLANO,'MUSO,-1,sesotho
$T$ A MANG A PHATHI A LELEKUOE,MAPARAMENTE,-1,sesotho
MAPARAMENTE A MANG A $T$ A LELEKUOE,PHATHI,0,sesotho
$T$ O FA BAHOEBI M130 000,'MUSO,1,sesotho
'MUSO O FA $T$ M130 000,BAHOEBI,0,sesotho
$T$ O BEHA TONAKHOLO POOANENG,MOPARAMENTE OA PHATHI,-1,sesotho
MOPARAMENTE OA PHATHI O BEHA $T$ POOANENG,TONAKHOLO,-1,sesotho
$T$ E TLO NYOLOHA HAMPE HAHOLO,THEKO EA NAMA LE MAHE,-1,sesotho
$T$ KE MAHLOPHA A SENYA,PULA,-1,sesotho
$T$ SE TSOA PUO KA POLAO EA MOPARAMENTE OA MEHLENG,SEPOLESA,0,sesotho
SEPOLESA SE TSOA PUO KA POLAO EA MOPARAMENTE OA MEHLENG,MOPARAMENTE OA MEHLENG,-1,sesotho
$T$ O SHAPILE MOSALI OA MOTHO HA A TLA BOLAOA,MOFU,-1,sesotho
MOFU O SHAPILE $T$ HA A TLA BOLAOA,MOSALI OA MOTHO,0,sesotho
$T$ O THUNYELITSOE LEFU KAJENO,MOPARAMENTE,-1,sesotho
MAEMONG A NEPAHETSENG HA HO $T$ EA KA JANG NAMA EA NTJA,MOTHO,0,sesotho
MAEMONG A NEPAHETSENG HA HO MOTHO EA KA JANG $T$,NAMA EA NTJA,-1,sesotho
$T$ O FUMANA TLHAPI E KHOLO,MOPARAMENTE,1,sesotho
$T$ O TŠOEROE KAMOR'A HO LEKA HO BOLAEA EO PELAELO ELENG HORE O BUILE KOMA,RAMOPHATHO,-1,sesotho
MENYENYETSI E RE HO SE HO ENA LE $T$ EA THUNTSOENG BOIPELAETSONG BA BAITHUTI BA SEKOLO SE PHAHAMENG,MOTHO,-1,sesotho
MENYENYETSI E RE HO SE HO ENA LE MOTHO EA THUNTSOENG $T$ BA BAITHUTI BA SEKOLO SE PHAHAMENG,BOIPELAETSONG,-1,sesotho
MENYENYETSI E RE HO SE HO ENA LE MOTHO EA THUNTSOENG BOIPELAETSONG BA $T$,BATHUTI BA SEKOLO SE PHAHAMENG,0,sesotho
HO UTLOAHALA HO KHABOLA HA $T$ BOIPILETSONG BA BAITHUTI BA SEKOLO SE PHAHAMENG,SETHUNYA,-1,sesotho
HO UTLOAHALA HO KHABOLA HA SETHUNYA $T$ BA BAITHUTI BA SEKOLO SE PHAHAMENG,BOIPELETSONG,-1,sesotho
HO UTLOAHALA HO KHABOLA HA SETHUNYA BOIPILETSONG BA $T$,BAITHUTI BA SEKOLO SE PHAHAMENG,0,sesotho
HO QETA HO ETSAHALA $T$ E MPE,KOTSI,-1,sesotho
$T$ O HLAJOA KA THIPA A LE LAPENG BOSIU,MOSALI,-1,sesotho
MOSALI O HLAJOA KA $T$ A LE LAPENG BOSIU,THIPA,-1,sesotho
UTLOA LITABA TSA $T$ EA BELAELLOANG KA BOSHOLU BA TLHAPI,MOSALI,-1,sesotho
UTLOA LITABA TSA MOSALI EA BELAELLOANG KA BOSHOLU BA $T$,TLHAPI,-1,sesotho
$T$ E KHUTLILE E SA KHOLA MAOBANE,METSOFE,-1,sesotho
LINTLHA-KHOLO MABAPI LE $T$ EA TŠOEROENG KA MAKOLOKOTI A TLHAPI,MOSALI,-1,sesotho
LINTLHA-KHOLO MABAPI LE MOSALI EA TŠOEROENG KA $T$,MAKOLOKOTI A TLHAPI,-1,sesotho
$T$ BA BATLA MOETAPELE A LELEKE MOPARAMENTE OA BOHLANO,BALATELI BA PHATHI,-1,sesotho
BALATELI BA PHATHI BA BATLA $T$ A LELEKE MOPARAMENTE OA BOHLANO,MOETAPELE,0,sesotho
BALATELI BA PHATHI BA BATLA MOETAPELE A LELEKE $T$ OA BOHLANO,MOPARAMENTE,-1,sesotho
$T$ O HANANA LE QETO EA MOETAPELE,MOPARAMENTE OA PHATHI,-1,sesotho
MOPARAMENTE OA PHATHI O HANANA LE QETO EA $T$,MOETAPELE,0,sesotho
HO PHETHILE $T$ A TEBETSOE BOPHELO BOHLE,MAPARAMENTE A PHATHI,-1,sesotho
LIPHUPUTSO LI THAKHOTSOE KHAHLANONG LE $T$,SEBOHOLI,-1,sesotho
$T$ O PHELISA SECHABA KA LESHANO,TONAKHOLO,-1,sesotho
TONAKHOLO O PHELISA $T$ KA LESHANO,SECHABA,0,sesotho
BA RE $T$ SE NA LE LETEMONA,SEPABALI SA BOLO,-1,sesotho
UTLOA TSA $T$ O LITULONG KAJENO,LETONA LA 'MUSO,0,sesotho
$T$ O RE O FUMANE BAREKI BA TLA REKA LIHLAHISOA TSA LIFEME TSA NAHA,TONAKHOLO,1,sesotho
TONAKHOLO O RE O FUMANE $T$ BA TLA REKA LIHLAHISOA TSA LIFEME TSA NAHA,BAREKI,1,sesotho
TONAKHOLO O RE O FUMANE BAREKI BA TLA REKA $T$,LIHLAHISOA TSA LIFEME TSA NAHA,0,sesotho
$T$ A 20 A TLALEHOA A FEFOHILE,MATLO,-1,sesotho
$T$ O HLABA MOETAPELE OA PHATHI BOHLOKONG,TONAKHOLO,-1,sesotho
TONAKHOLO O HLABA $T$ BOHLOKONG,MOETAPELA OA PHATHI,0,sesotho
HO TLOSOA $T$ OFISING,BOTO EA PHATHI,-1,sesotho
HO TLOSOA BOTO EA PHATHI $T$,OFISING,0,sesotho
$T$ SE TLO BATLOA LI-ID HO TŠELA CHELETE,SECHABA,0,sesotho
SECHABA SE TLO BATLOA $T$ HO TŠELA CHELETE,LI-ID,-1,sesotho
SECHABA SE TLO BATLOA LI-ID HO TŠELA $T$,CHELETE,0,sesotho
$T$ O LO LOKISA TSELA EA HABO KA SONTAHA,MOPARAMENTE,1,sesotho
MOPARAMENTE O LO LOKISA $T$ EA HABO KA SONTAHA,TSELA,1,sesotho
MELEMO EA HO JA $T$,NAMA EA NTJA,1,sesotho
$T$ LE NETEFATSA HORE COVID-19 E FUMANOE BANENG BA SEKOLO,LETONA,0,sesotho
LETONA LE NETEFATSA HORE $T$ E FUMANOE BANENG BA SEKOLO,COVID-19,-1,sesotho
LETONA LE NETEFATSA HORE COVID-19 E FUMANOE $T$,BANENG BA SEKOLO,-1,sesotho
$T$ E FUMANOA BANENG BA SEKOLO,COVID-19,-1,sesotho
COVID-19 E FUMANOA $T$,BANENG BA SEKOLO,-1,sesotho
$T$ O QALELETSE HO LOKISA LITSELA,'MUSO,1,sesotho
'MUSO O QALELETSE HO LOKISA $T$,LITSELA,1,sesotho
MAMELA $T$ A SHOASHOATHELA SEBOHOLI,MOOKAMELI OA SEEA-LE-MOEA,-1,sesotho
MAMELA MOOKAMELI OA SEEA-LE-MOEA A SHOASHOATHELA $T$,SEBOHOLI,0,sesotho
$T$ E 'NGOE E BEHELLA BASEBELETSI KAOFELA KA THOKO,FEME,-1,sesotho
FEME E 'NGOE E BEHELLA $T$ KAOFELA KA THOKO,BASEBELETSI,0,sesotho
BONA $T$,MAHLASIPA A SEBOHOLI,-1,sesotho
$T$ O PHAPHATHA TONAKHOLO LEHETLA,MOETAPELE OA PHATHI,1,sesotho
MOETAPELE OA PHATHI O PHAPHATHA $T$ LEHETLA,TONAKHOLO,1,sesotho
$T$ SE RE MOSEBETSI 'MOHO O MORERONG OA HO MO FENETHA,SEBOHOLI,0,sesotho
SEBOHOLI SE RE $T$ O MORERONG OA HO MO FENETHA,MOSEBETSI 'MOHO,-1,sesotho
$T$ O OELOA KE TSIETSI,MONNA,-1,sesotho
$T$ BA 15 BA HLAHELOA KE MATHATA NAHENG EA BOAHISANE,BATHO,-1,sesotho
BATHO BA 15 BA HLAHELOA KE MATHATA $T$,NAHENG EA BOAHISANE,0,sesotho
TSEBA NA $T$ O HAKAE KA MOTEBO OA SEPOLESA,MOKHOTHALETSUOA,0,sesotho
TSEBA NA MOKHOTHALETSUOA O HAKAE KA $T$,MOTEBO OA SEPOLESA,0,sesotho
$T$ O RE SECHABA SE LOKELA HO BA LIMPIMPI,TONAKHOLO,0,sesotho
TONAKHOLO O RE $T$ SE LOKELA HO BA LIMPIMPI,SECHABA,1,sesotho
$T$ SE NTSE SE SO FIHLE MOO NTJA E FUMANOENG E MOMME SETOTSOANA,SEPOLESA,-1,sesotho
SEPOLESA SE NTSE SE SO FIHLE MOO $T$ E FUMANOENG E MOMME SETOTSOANA,NTJA,-1,sesotho
SEPOLESA SE NTSE SE SO FIHLE MOO NTJA E FUMANOENG E MOMME $T$,SETOTSOANA,-1,sesotho
$T$ E NE E HLOKE MOHATLA KE HO ROMELETSA,PELA,-1,sesotho
PELA E NE E HLOKE $T$ KE HO ROMELETSA,MOHATLA,0,sesotho
$T$ O PEPESA BOFOKOLI BA TONAKHOLO,MOPARAMENTE,-1,sesotho
MOPARAMENTE O PEPESA BOFOKOLI BA $T$,TONAKHOLO,-1,sesotho
$T$ O BOELA A BITSA BAPHATLALATSI BA LITABA,TONAKHOLO,0,sesotho
TONAKHOLO O BOELA A BITSA $T$,BAPHATLALATSI BA LITABA,0,sesotho
$T$ TSE MONATE HO MATAOA,LITABA,1,sesotho
LITABA TSE MONATE HO $T$,MATAOA,-1,sesotho
HO QHOMA $T$ LE LENG HAPE,LEFU,-1,sesotho
LINTLHA-KHOLO POLELONG EA $T$ SEBOKENG SA MOKHA OA POLOTIKI,MOETAPELE,0,sesotho
LINTLHA-KHOLO POLELONG EA MOETAPELE $T$,SEBOKENG SA MOKHA OA POLOTIKI,0,sesotho
$T$ TSE NCHA,LITABA,1,sesotho
$T$ TSE MONATE HO SECHABA,LITABA,1,sesotho
LITABA TSE MONATE HO $T$,SECHABA,0,sesotho
$T$ LE HLAHELLA BOBOLUNG,LETONA,-1,sesotho
$T$ O PHOQA TONAKHOLO,MOPARAMENTE,-1,sesotho
MOPARAMENTE O PHOQA $T$,TONAKHOLO,0,sesotho
$T$ A 11 A CHELE,MATLO,-1,sesotho
$T$ KE MOLATELI OA SEHLOPHA SA BOLO,MOLIMO,1,sesotho
MOLIMO KE MOLATELI OA $T$,SEHLOPHA SA BOLO,0,sesotho
HO SETSE LIHORA $T$ A TLOSOA BOTONAKHOLONG,TONAKHOLO,-1,sesotho
$T$ O LOKELA HO OELA,TONAKHOLO,-1,sesotho
UTLOA NA HOBANENG $T$ A LELEKILE MAPARAMENTE A 3,TONAKHOLO,0,sesotho
UTLOA NA HOBANENG TONAKHOLO A LELEKILE $T$ A 3,MAPARAMENTE,-1,sesotho
$T$ EA HO NYOLLA LITEFISO TSA METSI E TLA PHATLALATSOA KAJENO,QETO,0,sesotho
QETO EA HO NYOLLA $T$ E TLA PHATLALATSOA KAJENO,LITEFISO TSA METSI,-1,sesotho
$T$,MANYELA-KOAENG,-1,sesotho
UTLOA LITABA TSA $T$ KA TONAKHOLO,MOPARAMENTE,0,sesotho
UTLOA LITABA TSA MOPARAMENTE KA $T$,TONAKHOLO,0,sesotho
UTLOA MANYALA A $T$ HO LATELA TLHALOSO EA MOPARAMENTE,'MUSO,-1,sesotho
UTLOA MANYALA A 'MUSO HO LATELA TLHALOSO EA $T$,MOPARAMENTE,0,sesotho
$T$ BA ROBONG BA TŠOEROE,BATHO,-1,sesotho
$T$ O QETA HO HLAJOA KA THIPA,MOSALI,-1,sesotho
MOSALI O QETA HO HLAJOA KA $T$,THIPA,-1,sesotho
$T$ BA TLA TSAMAEA BOSIU BA TLO AHLOLOA M10 000,BATHO,-1,sesotho
HO TLA TŠOARELOA $T$ MOO SEBOHOLI SE TIMELETSENG,THAPELO,1,sesotho
HO TLA TŠOARELOA THAPELO MOO $T$ SE TIMELETSENG,SEBOHOLI,-1,sesotho
KE $T$ BA 54 BA TIMETSENG SELEMONG SENA,BATHO,-1,sesotho
