text,aspect,sentiment_label,language,text_clean
$T$ O ROKA NAHA MACHABENG,TONAKHOLO,0,sesotho,t o roka naha machabeng
TONAKHOLO O ROKA $T$ MACHABENG,NAHA,1,sesotho,tonakholo o roka t machabeng
$T$ LE THEOLETSE TSE LING TSA LITŠEBELETSO SECHABENG,LETONA,1,sesotho,t le theoletse tse ling tsa litšebeletso sechabeng
LETONA LE THEOLETSE TSE LING TSA $T$ SECHABENG,LITŠEBELETSO,0,sesotho,letona le theoletse tse ling tsa t sechabeng
$T$ BO KHAOHILE HAPE TSEBISO E POTLAKILENG,BOROKHO,-1,sesotho,t bo khaohile hape tsebiso e potlakileng
BOROKHO BO KHAOHILE HAPE $T$ E POTLAKILENG,TSEBISO,1,sesotho,borokho bo khaohile hape t e potlakileng
$T$ O TLO FA LESOLE LE LENG LE LENG M100 000,'MUSO,1,sesotho,t o tlo fa lesole le leng le leng m100 000
'MUSO O TLO FA $T$ LE LENG LE LENG M100 000,LESOLE,0,sesotho,muso o tlo fa t le leng le leng m100 000
$T$ EA SESOLE,PHATLALATSO,0,sesotho,t ea sesole
PHATLALATSO EA $T$,SESOLE,0,sesotho,phatlalatso ea t
HO BONOA $T$ LETAMONG,SETOPO,-1,sesotho,ho bonoa t letamong
HO BONOA SETOPO $T$,LETAMONG,-1,sesotho,ho bonoa setopo t
$T$ O AMEHA BOSHOLUNG BA LIPHOOFOLO,MOPARAMENTE,-1,sesotho,t o ameha bosholung ba liphoofolo
MOPARAMENTE O AMEHA BOSHOLUNG BA $T$,LIPHOOFOLO,0,sesotho,moparamente o ameha bosholung ba t
$T$ LA KOMITI EA NAKOANA EA MOKHA O MOCHA,LENANE,0,sesotho,t la komiti ea nakoana ea mokha o mocha
LENANE LA $T$ EA MOKHA O MOCHA,KOMITI EA NAKOANA,0,sesotho,lenane la t ea mokha o mocha
LENANE LA KOMITI EA NAKOANA EA $T$ O MOCHA,MOKHA,1,sesotho,lenane la komiti ea nakoana ea t o mocha
$T$ O TLO NEHELANA KA SETHUNYA SA POLASETIKI MAPOLESENG,MOPAREMENTE,-1,sesotho,t o tlo nehelana ka sethunya sa polasetiki mapoleseng
MOPARAMENTE O TLO NEHELANA KA $T$ SA POLASETIKI MAPOLESENG,SETHUNYA,-1,sesotho,moparamente o tlo nehelana ka t sa polasetiki mapoleseng
MOPARAMENTE O TLO NEHELANA KA SETHUNYA SA POLASETIKI $T$,MAPOLESENG,0,sesotho,moparamente o tlo nehelana ka sethunya sa polasetiki t
$T$ O BONA MASOBA KATLEHONG EA TONAKHOLO LE 'MUSO OA HAE,MOPARAMENTE,0,sesotho,t o bona masoba katlehong ea tonakholo le muso oa hae
MOPARAMENTE O BONA MASOBA KATLEHONG EA $T$ LE 'MUSO OA HAE,TONAKHOLO,-1,sesotho,moparamente o bona masoba katlehong ea t le muso oa hae
MOPARAMENTE O BONA MASOBA KATLEHONG EA TONAKHOLO LE $T$ OA HAE,'MUSO,-1,sesotho,moparamente o bona masoba katlehong ea tonakholo le t oa hae
$T$ TSE LING TSE MONATE KE TSENA,LITABA,1,sesotho,t tse ling tse monate ke tsena
$T$ TSE MONATE,LITABA,1,sesotho,t tse monate
HO ETSAHETSE KOLOI E MPE EA $T$,KOLOI,-1,sesotho,ho etsahetse koloi e mpe ea t
$T$ O RE BATHO KE LITHOTHO,MONNA,0,sesotho,t o re batho ke lithotho
MONNA O RE $T$ KE LITHOTHO,BATHO,-1,sesotho,monna o re t ke lithotho
KE BOTHATA HO $T$ HO LATA MOFU EA SELAKHUOENG,SEPOLESA,-1,sesotho,ke bothata ho t ho lata mofu ea selakhuoeng
KE BOTHATA HO SEPOLESA HO LATA $T$ EA SELAKHUOENG,MOFU,-1,sesotho,ke bothata ho sepolesa ho lata t ea selakhuoeng
PALO EA $T$ BA SHOELETSENG MORAFONG E NETEFALITSOE,BATHO,-1,sesotho,palo ea t ba shoeletseng morafong e netefalitsoe
PALO EA BATHO BA SHOELETSENG $T$ E NETEFALITSOE,MORAFONG,-1,sesotho,palo ea batho ba shoeletseng t e netefalitsoe
$T$ O TLA TŠOARA 'MOKA OA BAPHATLALATSI BA LITABA KAJENO,'MUSO,1,sesotho,t o tla tšoara moka oa baphatlalatsi ba litaba kajeno
'MUSO O TLA TŠOARA $T$ BA LITABA KAJENO,'MOKA OA BAPHATLALATSI,0,sesotho,muso o tla tšoara t ba litaba kajeno
$T$ EA FUMANOENG MOSALING OA MOTHO LEFISOA M5 000,MONNA,-1,sesotho,t ea fumanoeng mosaling oa motho lefisoa m5 000
MONNA EA FUMANOENG $T$ OA MOTHO LEFISOA M5 000,MOSALING,0,sesotho,monna ea fumanoeng t oa motho lefisoa m5 000
KE TLOLO EA MOLAO HO TIMA BOMME CHELETE,TLOLO EA MOLAO,-1,sesotho,ke tlolo ea molao ho tima bomme chelete
KE TLOLO EA MOLAO HO TIMA $T$ CHELETE,BOMME,0,sesotho,ke tlolo ea molao ho tima t chelete
KE TLOLO EA MOLAO HO TIMA BOMME $T$,CHELETE,-1,sesotho,ke tlolo ea molao ho tima bomme t
$T$ O AKHELOA KHOTLA O QOSUOE,TONAKHOLO,-1,sesotho,t o akheloa khotla o qosuoe
TONAKHOLO O AKHELOA $T$ O QOSUOE,KHOTLA,0,sesotho,tonakholo o akheloa t o qosuoe
$T$ O TLANNGOE MATSOHO KA HO FELETSENG,TONAKHOLO,-1,sesotho,t o tlanngoe matsoho ka ho feletseng
TONAKHOLO O TLANNGOE $T$ KA HO FELETSENG,MATSOHO,0,sesotho,tonakholo o tlanngoe t ka ho feletseng
$T$ BA ROBONG BA TŠOEROE,BATHO,-1,sesotho,t ba robong ba tšoeroe
$T$ A KHUTLA A HOSHOLA HA MOPARAMENTE,MAPOLESA,-1,sesotho,t a khutla a hoshola ha moparamente
MAPOLESA A KHUTLA A HOSHOLA HA $T$,MOPARAMENTE,0,sesotho,mapolesa a khutla a hoshola ha t
$T$ LI THATA LI HLOKA 'NETE FELA,LITABA TSA NAHA,-1,sesotho,t li thata li hloka nete fela
MOHLOLO OA $T$ NA LITSI TSA TŠIRELETSO LI CAPTURED,TABA,0,sesotho,mohlolo oa t na litsi tsa tšireletso li captured
MOHLOLO OA TABA NA $T$ LI CAPTURED,LITSI TSA TŠIRELETSO,-1,sesotho,mohlolo oa taba na t li captured
$T$ TSE MONATE KE TSENA,LITABA,1,sesotho,t tse monate ke tsena
$T$ POLAONG EA MOOKAMELI BA HLAHA KHOTLA,BAQOSUOA,-1,sesotho,t polaong ea mookameli ba hlaha khotla
BAQOSUOA POLAONG EA $T$ BA HLAHA KHOTLA,MOOKAMELI,0,sesotho,baqosuoa polaong ea t ba hlaha khotla
BAQOSUOA POLAONG EA MOOKAMELI BA HLAHA $T$,KHOTLA,0,sesotho,baqosuoa polaong ea mookameli ba hlaha t
$T$ O ITELA BOOTLOANE HO TONAKHOLO,MOKHETHOA,1,sesotho,t o itela bootloane ho tonakholo
MOKHETHOA O ITELA BOOTLOANE HO $T$,TONAKHOLO,0,sesotho,mokhethoa o itela bootloane ho t
$T$ EA LILEMO LI 12 O TLA LULA TERONKONG LILEMO TSE PELI,NGOANANYANA,-1,sesotho,t ea lilemo li 12 o tla lula teronkong lilemo tse peli
NGOANANYANA EA LILEMO LI 12 O TLA LULA $T$ LILEMO TSE PELI,TERONKONG,0,sesotho,ngoananyana ea lilemo li 12 o tla lula t lilemo tse peli
$T$ A TLO NYOLOHA HO TLOHA KA LA 1 TŠITOE 2023,MAKOLOI A BAETI,-1,sesotho,t a tlo nyoloha ho tloha ka la 1 tšitoe 2023
$T$ A NYOLOHILE,MAKOLOI A BAETI,-1,sesotho,t a nyolohile
$T$ SE PHONYOHA TORONKO,SEBAPALI SA BOLO,1,sesotho,t se phonyoha toronko
SEBAPALI SA BOLO SE PHONYOHA $T$,TORONKO,-1,sesotho,sebapali sa bolo se phonyoha t
$T$ BA TLOHELA LIPILISI TSA BOPHELO BOHLE KA LERENG BA RAPELETSOE,BATHO,-1,sesotho,t ba tlohela lipilisi tsa bophelo bohle ka lereng ba rapeletsoe
BATHO BA TLOHELA $T$ KA LERENG BA RAPELETSOE,LIPILISI TSA BOPHELO BOHLE,1,sesotho,batho ba tlohela t ka lereng ba rapeletsoe
LE KAJENO LITŠEPISO TSA $T$ LE LETONA HA LI SO PHETHAHALE,TONAKHOLO,-1,sesotho,le kajeno litšepiso tsa t le letona ha li so phethahale
LE KAJENO LITŠEPISO TSA TONAKHOLO LE $T$ HA LI SO PHETHAHALE,LETONA,-1,sesotho,le kajeno litšepiso tsa tonakholo le t ha li so phethahale
$T$ EA HO LOKISA LEBALA LA LIPAPALI E QALILE,TŠEBETSO,1,sesotho,t ea ho lokisa lebala la lipapali e qalile
TŠEBETSO EA HO LOKISA $T$ E QALILE,LEBALA LA LIPAPALI,1,sesotho,tšebetso ea ho lokisa t e qalile
PHANO EA $T$ E NTSE E TSAMAEA KA THELLO E KHOLO,LIPASA,1,sesotho,phano ea t e ntse e tsamaea ka thello e kholo
$T$ TSE MONATE KE TSENA FEELA LI KANNA TSA BA BOHLOKO HO MANOA-JOALA A BAQHOBI,LITABA,1,sesotho,t tse monate ke tsena feela li kanna tsa ba bohloko ho manoajoala a baqhobi
LITABA TSE MONATE KE TSENA FEELA LI KANNA TSA BA BOHLOKO HO MANOA-JOALA A $T$,BAQHOBI,-1,sesotho,litaba tse monate ke tsena feela li kanna tsa ba bohloko ho manoajoala a t
BA SEBOKO KA HO NYOLOHA HOA $T$,MAKOLOI,-1,sesotho,ba seboko ka ho nyoloha hoa t
$T$ O BAPISA TONAKHOLO EA MEHLENG LE TONAKHOLO,MOPARAMENTE,0,sesotho,t o bapisa tonakholo ea mehleng le tonakholo
MOPARAMENTE O BAPISA $T$ LE TONAKHOLO,TONAKHOLO EA MEHLENG,0,sesotho,moparamente o bapisa t le tonakholo
MOPARAMENTE O BAPISA TONAKHOLO EA MEHLENG LE $T$,TONAKHOLO,0,sesotho,moparamente o bapisa tonakholo ea mehleng le t
$T$ O TLO AHA MATLO A BATHO A FEFOHILENG,TONAKHOLO,1,sesotho,t o tlo aha matlo a batho a fefohileng
TONAKHOLO O TLO AHA $T$ A FEFOHILENG,MATLO A BATHO,-1,sesotho,tonakholo o tlo aha t a fefohileng
$T$ O NTSE A PHETSE HANTLE,TONAKHOLO,1,sesotho,t o ntse a phetse hantle
$T$ O QALELETSE HO FEPA SECHABA,TONAKHOLO,1,sesotho,t o qaleletse ho fepa sechaba
TONAKHOLO O QALELETSE HO FEPA $T$,SECHABA,0,sesotho,tonakholo o qaleletse ho fepa t
$T$ TSE MONTATE HO BAITHUTI,LITABA,1,sesotho,t tse montate ho baithuti
LITABA TSE MONTATE HO $T$,BAITHUTI,0,sesotho,litaba tse montate ho t
$T$ LE EENA O FUOA BOTONA KE TONAKHOLO,MOPARAMENTE,1,sesotho,t le eena o fuoa botona ke tonakholo
MOPARAMENTE LE EENA O FUOA BOTONA KE $T$,TONAKHOLO,1,sesotho,moparamente le eena o fuoa botona ke t
BONA $T$ A TLANG HO HLAPANTŠOA KAJENO,LENANE LA MATONA,1,sesotho,bona t a tlang ho hlapantšoa kajeno
$T$ O TLO ABELA SECHABA LIJO-THOLLO,TONAKHOLO,1,sesotho,t o tlo abela sechaba lijothollo
TONAKHOLO O TLO ABELA $T$ LIJO-THOLLO,SECHABA,0,sesotho,tonakholo o tlo abela t lijothollo
TONAKHOLO O TLO ABELA SECHABA $T$,LIJO-THOLLO,0,sesotho,tonakholo o tlo abela sechaba t
$T$ HA A EO KA HAR'A NAHA,MOPARAMENTE,0,sesotho,t ha a eo ka hara naha
$T$ E MOHOLO OA 'MUSO O TLO QHAUTSOA,MOHANYETSI,1,sesotho,t e moholo oa muso o tlo qhautsoa
MOHANYETSI E MOHOLO OA $T$ O TLO QHAUTSOA,'MUSO,0,sesotho,mohanyetsi e moholo oa t o tlo qhautsoa
$T$ BA PHALLELOA KA LIMPHO,BAITHUTI,0,sesotho,t ba phalleloa ka limpho
BAITHUTI BA PHALLELOA KA $T$,LIMPHO,1,sesotho,baithuti ba phalleloa ka t
$T$ O TSOELAPELE KA MOSEBETSI O MOTLE,TONAKHOLO,1,sesotho,t o tsoelapele ka mosebetsi o motle
$T$ O ARABA LIPOTSO TSA THEKO EA MAKOLOI A SEPOLESA,'MUSO,1,sesotho,t o araba lipotso tsa theko ea makoloi a sepolesa
'MUSO O ARABA LIPOTSO TSA $T$ EA MAKOLOI A SEPOLESA,THEKO,0,sesotho,muso o araba lipotso tsa t ea makoloi a sepolesa
'MUSO O ARABA LIPOTSO TSA THEKO EA $T$,MAKOLOI A SEPOLESA,0,sesotho,muso o araba lipotso tsa theko ea t
$T$ SE BOELA E NGOLA NALANE E MPE,SEHLOPHA SA BOLO,-1,sesotho,t se boela e ngola nalane e mpe
$T$ BA TLO LAHLELOA TORONKONG,BATŠEHETSI BA SEHLOPHA SA BOLO,-1,sesotho,t ba tlo lahleloa toronkong
BATŠEHETSI BA SEHLOPHA SA BOLO BA TLO LAHLELOA $T$,TORONKONG,-1,sesotho,batšehetsi ba sehlopha sa bolo ba tlo lahleloa t
$T$ O TLO FANA KA LINKU HO BALISANA BA 108,TONAKHOLO,1,sesotho,t o tlo fana ka linku ho balisana ba 108
TONAKHOLO O TLO FANA KA LINKU HO $T$ BA 108,BALISANA,1,sesotho,tonakholo o tlo fana ka linku ho t ba 108
$T$ O SHEMOLA NTATAE SEPHAKA,NGOANANA,-1,sesotho,t o shemola ntatae sephaka
NGOANANA O SHEMOLA $T$ SEPHAKA,NTATAE,0,sesotho,ngoanana o shemola t sephaka
NGOANANA O SHEMOLA NTATAE $T$,SEPHAKA,0,sesotho,ngoanana o shemola ntatae t
$T$ O KHENOLA MOPARAMENTE HAPE,TONAKHOLO,-1,sesotho,t o khenola moparamente hape
TONAKHOLO O KHENOLA MOPARAMENTE HAPE,MOPARAMENTE,0,sesotho,tonakholo o khenola moparamente hape
$T$ LE TLA ARABA TSA LEFU LA MOSEBETSI KAJENO,LETONA,-1,sesotho,t le tla araba tsa lefu la mosebetsi kajeno
LETONA LE TLA ARABA TSA LEFU LA $T$ KAJENO,MOSEBETSI,-1,sesotho,letona le tla araba tsa lefu la t kajeno
$T$ O SHAPELA TONAKHOLO LEHOFI,MOPARAMENTE OA MEHLENG,0,sesotho,t o shapela tonakholo lehofi
MOPARAMENTE OA MEHLENG O SHAPELA $T$ LEHOFI,TONAKHOLO,1,sesotho,moparamente oa mehleng o shapela t lehofi
$T$ O TLO REKELA MAPOLESA MAKOLOI A MANG HAPE,'MUSO,1,sesotho,t o tlo rekela mapolesa makoloi a mang hape
'MUSO O TLO REKELA $T$ MAKOLOI A MANG HAPE,MAPOLESA,0,sesotho,muso o tlo rekela t makoloi a mang hape
'MUSO O TLO REKELA MAPOLESA $T$ A MANG HAPE,MAKOLOI,1,sesotho,muso o tlo rekela mapolesa t a mang hape
KE LESHANO HORE $T$ E TLO KOPANELA PUSO,PHATHI,0,sesotho,ke leshano hore t e tlo kopanela puso
KE LESHANO HORE PHATHI E TLO KOPANELA $T$,PUSO,-1,sesotho,ke leshano hore phathi e tlo kopanela t
$T$ A 7 A 'MUSO A BATLA HO TŠELELA KA HO BOHANYETSI,MAPARAMENTE,-1,sesotho,t a 7 a muso a batla ho tšelela ka ho bohanyetsi
MAPARAMENTE A 7 A $T$ A BATLA HO TŠELELA KA HO BOHANYETSI,'MUSO,0,sesotho,maparamente a 7 a t a batla ho tšelela ka ho bohanyetsi
MAPARAMENTE A 7 A 'MUSO A BATLA HO TŠELELA KA HO $T$,BOHANYETSI,-1,sesotho,maparamente a 7 a muso a batla ho tšelela ka ho t
$T$ O BOELA A TSOA PUO KA TSA HO TŠOAROA HA HAE,MOPARAMENTE,-1,sesotho,t o boela a tsoa puo ka tsa ho tšoaroa ha hae
BALA POLELO EA $T$ MABAPI LE MAEMO A RENANG A LIPOLOTIKI,LEKHOTLA LA LIKEREKE,0,sesotho,bala polelo ea t mabapi le maemo a renang a lipolotiki
BALA POLELO EA LEKHOTLA LA LIKEREKE MABAPI LE $T$ A RENANG A LIPOLOTIKI,MAEMO,0,sesotho,bala polelo ea lekhotla la likereke mabapi le t a renang a lipolotiki
BALA POLELO EA LEKHOTLA LA LIKEREKE MABAPI LE MAEMO A RENANG A $T$,LIPOLOTIKI,0,sesotho,bala polelo ea lekhotla la likereke mabapi le maemo a renang a t
$T$ O JOOA KE LINTA TSA KOBO EA HAE,MOPARAMENTE,-1,sesotho,t o jooa ke linta tsa kobo ea hae
$T$ O HLALOSA TSA TŠOARO EA HAE,MOPARAMENTE,-1,sesotho,t o hlalosa tsa tšoaro ea hae
$T$ SE TLOLA MOLAO KA HO TŠOARA MOPARAMENTE,SEPOLESA,-1,sesotho,t se tlola molao ka ho tšoara moparamente
SEPOLESA SE TLOLA MOLAO KA HO TŠOARA $T$,MOPARAMENTE,0,sesotho,sepolesa se tlola molao ka ho tšoara t
$T$ A IKISA MAPOLESENG,MAPARAMENTE A BOHANYETSI,-1,sesotho,t a ikisa mapoleseng
MAPARAMENTE A BOHANYETSI A IKISA $T$,MAPOLESENG,0,sesotho,maparamente a bohanyetsi a ikisa t
$T$ O TŠOEROE,MOPARAMENTE OA BOHANYETSI,-1,sesotho,t o tšoeroe
$T$ A TLO SHAPUOA,MASOLE,-1,sesotho,t a tlo shapuoa
$T$ O FUOA BEILE,'MOLAI OA MOPARAMENTE OA MEHLENG,-1,sesotho,t o fuoa beile
'MOLAI OA MOPARAMENTE OA MEHLENG O FUOA $T$,BEILE,0,sesotho,molai oa moparamente oa mehleng o fuoa t
$T$ SE MAKALLA POLELO EA LITSI TSA TŠIRELETSO,SETHO SA PHATHI,-1,sesotho,t se makalla polelo ea litsi tsa tšireletso
SETHO SA PHATHI SE MAKALLA $T$,POLELO EA LITSI TSA TŠIRELETSO,0,sesotho,setho sa phathi se makalla t
$T$ O KENYA SEPOLESA SESOLE LE MAUTLOELA TSELENG,MOPARAMENTE,1,sesotho,t o kenya sepolesa sesole le mautloela tseleng
MOPARAMENTE O KENYA $T$ SESOLE LE MAUTLOELA TSELENG,SEPOLESA,-1,sesotho,moparamente o kenya t sesole le mautloela tseleng
MOPARAMENTE O KENYA SEPOLESA SESOLE LE $T$ TSELENG,MAUTLOELA,-1,sesotho,moparamente o kenya sepolesa sesole le t tseleng
MOPARAMENTE O KENYA SEPOLESA $T$ LE MAUTLOELA TSELENG,SESOLE,-1,sesotho,moparamente o kenya sepolesa t le mautloela tseleng
$T$ O RE LIKETSO TSA HO LIEA PUSO LI KE SE ETSAHALE,MOOKAMELI,1,sesotho,t o re liketso tsa ho liea puso li ke se etsahale
MOOKAMELI O RE LIKETSO TSA HO LIEA $T$ LI KE SE ETSAHALE,PUSO,-1,sesotho,mookameli o re liketso tsa ho liea t li ke se etsahale
MOOKAMELI O RE $T$ TSA HO LIEA PUSO LI KE SE ETSAHALE,LIKETSO,1,sesotho,mookameli o re t tsa ho liea puso li ke se etsahale
$T$ O TSOILE BOHANYETSI SHIBOBO,'MUSO,1,sesotho,t o tsoile bohanyetsi shibobo
'MUSO O TSOILE $T$ SHIBOBO,BOHANYETSI,-1,sesotho,muso o tsoile t shibobo
$T$ LE THIBELA HO LIHELOA HA TONAKHOLO,LEKHOTLA,1,sesotho,t le thibela ho liheloa ha tonakholo
LEKHOTLA LE THIBELA HO LIHELOA HA $T$,TONAKHOLO,0,sesotho,lekhotla le thibela ho liheloa ha t
HA U TŠABA U TŠABE $T$,MOPARAMENTE,-1,sesotho,ha u tšaba u tšabe t
$T$ O RE 'MUSO OA HAE O TJAMETSOE KE HO SE QETE LILEMO TSE HLANO,TONAKHOLO,-1,sesotho,t o re muso oa hae o tjametsoe ke ho se qete lilemo tse hlano
TONAKHOLO O RE $T$ OA HAE O TJAMETSOE KE HO SE QETE LILEMO TSE HLANO,'MUSO,-1,sesotho,tonakholo o re t oa hae o tjametsoe ke ho se qete lilemo tse hlano
$T$ A MANG A PHATHI A LELEKUOE,MAPARAMENTE,-1,sesotho,t a mang a phathi a lelekuoe
MAPARAMENTE A MANG A $T$ A LELEKUOE,PHATHI,0,sesotho,maparamente a mang a t a lelekuoe
$T$ O FA BAHOEBI M130 000,'MUSO,1,sesotho,t o fa bahoebi m130 000
'MUSO O FA $T$ M130 000,BAHOEBI,0,sesotho,muso o fa t m130 000
$T$ O BEHA TONAKHOLO POOANENG,MOPARAMENTE OA PHATHI,-1,sesotho,t o beha tonakholo pooaneng
MOPARAMENTE OA PHATHI O BEHA $T$ POOANENG,TONAKHOLO,-1,sesotho,moparamente oa phathi o beha t pooaneng
$T$ E TLO NYOLOHA HAMPE HAHOLO,THEKO EA NAMA LE MAHE,-1,sesotho,t e tlo nyoloha hampe haholo
$T$ KE MAHLOPHA A SENYA,PULA,-1,sesotho,t ke mahlopha a senya
$T$ SE TSOA PUO KA POLAO EA MOPARAMENTE OA MEHLENG,SEPOLESA,0,sesotho,t se tsoa puo ka polao ea moparamente oa mehleng
SEPOLESA SE TSOA PUO KA POLAO EA MOPARAMENTE OA MEHLENG,MOPARAMENTE OA MEHLENG,-1,sesotho,sepolesa se tsoa puo ka polao ea moparamente oa mehleng
$T$ O SHAPILE MOSALI OA MOTHO HA A TLA BOLAOA,MOFU,-1,sesotho,t o shapile mosali oa motho ha a tla bolaoa
MOFU O SHAPILE $T$ HA A TLA BOLAOA,MOSALI OA MOTHO,0,sesotho,mofu o shapile t ha a tla bolaoa
$T$ O THUNYELITSOE LEFU KAJENO,MOPARAMENTE,-1,sesotho,t o thunyelitsoe lefu kajeno
MAEMONG A NEPAHETSENG HA HO $T$ EA KA JANG NAMA EA NTJA,MOTHO,0,sesotho,maemong a nepahetseng ha ho t ea ka jang nama ea ntja
MAEMONG A NEPAHETSENG HA HO MOTHO EA KA JANG $T$,NAMA EA NTJA,-1,sesotho,maemong a nepahetseng ha ho motho ea ka jang t
$T$ O FUMANA TLHAPI E KHOLO,MOPARAMENTE,1,sesotho,t o fumana tlhapi e kholo
$T$ O TŠOEROE KAMOR'A HO LEKA HO BOLAEA EO PELAELO ELENG HORE O BUILE KOMA,RAMOPHATHO,-1,sesotho,t o tšoeroe kamora ho leka ho bolaea eo pelaelo eleng hore o buile koma
MENYENYETSI E RE HO SE HO ENA LE $T$ EA THUNTSOENG BOIPELAETSONG BA BAITHUTI BA SEKOLO SE PHAHAMENG,MOTHO,-1,sesotho,menyenyetsi e re ho se ho ena le t ea thuntsoeng boipelaetsong ba baithuti ba sekolo se phahameng
MENYENYETSI E RE HO SE HO ENA LE MOTHO EA THUNTSOENG $T$ BA BAITHUTI BA SEKOLO SE PHAHAMENG,BOIPELAETSONG,-1,sesotho,menyenyetsi e re ho se ho ena le motho ea thuntsoeng t ba baithuti ba sekolo se phahameng
MENYENYETSI E RE HO SE HO ENA LE MOTHO EA THUNTSOENG BOIPELAETSONG BA $T$,BATHUTI BA SEKOLO SE PHAHAMENG,0,sesotho,menyenyetsi e re ho se ho ena le motho ea thuntsoeng boipelaetsong ba t
HO UTLOAHALA HO KHABOLA HA $T$ BOIPILETSONG BA BAITHUTI BA SEKOLO SE PHAHAMENG,SETHUNYA,-1,sesotho,ho utloahala ho khabola ha t boipiletsong ba baithuti ba sekolo se phahameng
HO UTLOAHALA HO KHABOLA HA SETHUNYA $T$ BA BAITHUTI BA SEKOLO SE PHAHAMENG,BOIPELETSONG,-1,sesotho,ho utloahala ho khabola ha sethunya t ba baithuti ba sekolo se phahameng
HO UTLOAHALA HO KHABOLA HA SETHUNYA BOIPILETSONG BA $T$,BAITHUTI BA SEKOLO SE PHAHAMENG,0,sesotho,ho utloahala ho khabola ha sethunya boipiletsong ba t
HO QETA HO ETSAHALA $T$ E MPE,KOTSI,-1,sesotho,ho qeta ho etsahala t e mpe
$T$ O HLAJOA KA THIPA A LE LAPENG BOSIU,MOSALI,-1,sesotho,t o hlajoa ka thipa a le lapeng bosiu
MOSALI O HLAJOA KA $T$ A LE LAPENG BOSIU,THIPA,-1,sesotho,mosali o hlajoa ka t a le lapeng bosiu
UTLOA LITABA TSA $T$ EA BELAELLOANG KA BOSHOLU BA TLHAPI,MOSALI,-1,sesotho,utloa litaba tsa t ea belaelloang ka bosholu ba tlhapi
UTLOA LITABA TSA MOSALI EA BELAELLOANG KA BOSHOLU BA $T$,TLHAPI,-1,sesotho,utloa litaba tsa mosali ea belaelloang ka bosholu ba t
$T$ E KHUTLILE E SA KHOLA MAOBANE,METSOFE,-1,sesotho,t e khutlile e sa khola maobane
